word,glor.txt,lstb.txt,empt.txt,mems.txt,retn.txt,norw.txt,blac.txt,3gar.txt,spec.txt,danc.txt,blue.txt,bosc.txt,reti.txt,gree.txt,cano.txt,sign.txt,3gab.txt,shos.txt,bery.txt,soli.txt,cree.txt,resi.txt,reig.txt,prio.txt,card.txt,bruc.txt,nobl.txt,redc.txt,seco.txt,vall.txt,stoc.txt,iden.txt,lion.txt,copp.txt,nava.txt,sixn.txt,case.txt,3stu.txt,chas.txt,redh.txt,miss.txt,advs.txt,abbe.txt,twis.txt,wist.txt,cnus.txt,engr.txt,suss.txt,stud.txt,silv.txt,gold.txt,scan.txt,maza.txt,dyin.txt,lady.txt,devi.txt,croo.txt,houn.txt,musg.txt,illu.txt,five.txt,yell.txt,blan.txt,fina.txt,last.txt,thor.txt,veil.txt
scents,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drunken,2,0,0,2,2,0,0,0,0,0,0,0,0,0,19,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,2,0,0,0,0,4,1,1,0,17,0,0,2,0,0,1,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0
devonshire,0,0,0,3,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,18,0,0,0,3,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
lighter,0,1,0,2,0,0,0,0,0,0,0,0,0,1,9,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0
noteworthy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
engulfed,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
footstep,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
years,4,33,7,41,49,6,9,9,9,1,6,6,2,2,313,22,2,5,3,5,3,7,3,2,2,4,9,2,5,31,3,5,1,3,1,2,42,2,3,5,2,65,3,5,2,271,5,2,12,3,2,3,2,1,3,8,5,18,5,4,6,4,2,4,10,3,5
professors,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
course,1,36,4,79,57,9,4,5,7,0,4,3,10,5,372,27,7,4,3,2,6,7,11,8,8,4,6,3,4,15,11,9,3,5,16,4,55,5,3,6,5,59,3,6,4,317,5,6,18,8,6,4,2,3,4,4,4,26,8,6,1,5,2,3,6,3,1
episodes,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
experiments,1,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
fasteners,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
quarrelled,0,2,0,0,1,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
feted,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
omitting,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
horrify,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
razors,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
